env_min(m) 0.0000 0.0000 0.0000
env_max(m) 10.0000 10.0000 3.0000
NumCells_XYZ 100 100 30
CellSizes_XYZ[m] 0.1000 0.1000 0.1000
GasSourceLocation_XYZ[m] 0.7857 7.2143 0.5000
GasType ethanol
Cell_x	 Cell_y	 Cell_z	 Gas_conc[10^⁻3ppm]	 Wind_u[10^⁻3m/s]	 Wind_v[10^⁻3m/s]	 Wind_w[10^⁻3m/s]
2 2 0 0 0 0 0
2 3 0 0 0 0 0
2 4 0 0 0 0 0
2 5 0 0 0 0 0
2 6 0 0 0 0 0
2 7 0 0 0 -1 0
2 8 0 0 0 -1 0
2 9 0 0 0 -1 0
2 10 0 0 0 -1 0
2 11 0 0 0 -2 0
2 12 0 0 0 -2 0
2 13 0 0 0 -2 0
2 14 0 0 0 -2 0
2 15 0 0 0 -3 0
2 16 0 0 0 -3 0
2 17 0 0 0 -4 0
2 18 0 0 0 -4 1
2 19 0 0 0 -4 -1
2 20 0 0 0 -5 1
2 21 0 0 0 -5 -1
2 22 0 0 0 -6 1
2 23 0 0 0 -6 -1
2 24 0 0 0 -7 1
2 25 0 0 0 -8 -1
2 26 0 0 0 -8 2
2 27 0 0 0 -9 -2
2 28 0 0 0 -10 2
2 29 0 0 0 -11 -2
2 30 0 34 0 -12 3
2 31 0 0 0 -13 -2
2 32 0 0 0 -14 3
2 33 0 0 0 -15 -3
2 34 0 0 0 -16 4
2 35 0 822 0 -17 -3
2 36 0 0 0 -19 5
2 37 0 0 0 -20 -4
2 38 0 0 0 -22 5
2 39 0 0 0 -23 -4
2 40 0 2362 0 -25 6
2 41 0 0 0 -27 -5
2 42 0 0 0 -28 7
2 43 0 0 0 -30 -6
2 44 0 0 0 -32 8
2 45 0 5973 0 -34 -7
2 46 0 0 0 -36 9
2 47 0 0 0 -38 -7
2 48 0 0 0 -40 10
2 49 0 0 0 -42 -8
2 50 0 14951 0 -44 10
2 51 0 0 0 -46 -9
2 52 0 0 1 -48 11
2 53 0 0 0 -49 -10
2 54 0 0 1 -51 12
2 55 0 17281 0 -52 -10
2 56 0 0 1 -54 13
2 57 0 0 0 -55 -11
2 58 0 0 1 -57 13
2 59 0 0 0 -58 -11
2 60 0 24980 1 -59 13
2 61 0 0 0 -59 -11
2 62 0 0 1 -60 14
2 63 0 0 0 -60 -11
2 64 0 0 1 -61 13
2 65 0 30514 0 -60 -12
2 66 0 0 0 -61 14
2 67 0 0 0 -59 -12
2 68 0 0 0 -59 13
2 69 0 0 0 -57 -12
2 70 0 23572 0 -57 13
2 71 0 0 0 -55 -11
2 72 0 0 0 -54 12
2 73 0 0 0 -51 -11
2 74 0 0 0 -51 12
2 75 0 2400 0 -48 -11
2 76 0 0 0 -47 11
2 77 0 0 0 -43 -10
2 78 0 0 0 -42 9
2 79 0 0 0 -39 -9
2 80 0 49 0 -37 8
2 81 0 0 0 -34 -8
2 82 0 0 0 -33 7
2 83 0 0 0 -29 -7
2 84 0 0 0 -28 6
2 85 0 2 0 -25 -6
2 86 0 0 0 -23 5
2 87 0 0 0 -20 -5
2 88 0 0 0 -18 4
2 89 0 0 0 -16 -4
2 90 0 0 0 -14 3
2 91 0 0 0 -12 -3
2 92 0 0 0 -9 2
2 93 0 0 0 -7 -2
2 94 0 0 0 -5 1
2 95 0 0 0 -4 -1
2 96 0 0 0 -2 0
2 97 0 0 0 0 0
3 2 0 0 0 0 0
3 3 0 0 0 0 0
3 4 0 0 0 0 0
3 5 0 0 0 0 0
3 6 0 0 0 0 0
3 7 0 0 0 -1 0
3 8 0 0 0 -1 0
3 9 0 0 0 -1 0
3 10 0 0 0 -1 0
3 11 0 0 0 -2 0
3 12 0 0 0 -2 0
3 13 0 0 0 -2 0
3 14 0 0 0 -2 0
3 15 0 0 0 -3 0
3 16 0 0 0 -3 0
3 17 0 0 1 -4 0
3 18 0 0 0 -4 0
3 19 0 0 1 -4 0
3 20 0 0 0 -5 0
3 21 0 0 1 -5 0
3 22 0 2 0 -6 0
3 23 0 5 1 -6 0
3 24 0 13 0 -7 0
3 25 0 28 2 -8 0
3 26 0 52 0 -8 0
3 27 0 90 2 -9 0
3 28 0 146 0 -10 0
3 29 0 226 2 -11 0
3 30 0 331 0 -11 0
3 31 0 462 3 -13 0
3 32 0 619 0 -13 0
3 33 0 804 3 -15 0
3 34 0 1024 0 -16 0
3 35 0 1282 4 -18 0
3 36 0 1581 0 -18 0
3 37 0 1930 4 -20 0
3 38 0 2333 -1 -21 0
3 39 0 2806 5 -23 0
3 40 0 3365 -1 -25 0
3 41 0 4047 6 -27 0
3 42 0 4893 -1 -28 0
3 43 0 5940 6 -30 0
3 44 0 7229 -1 -32 0
3 45 0 8750 7 -34 0
3 46 0 10590 -2 -36 0
3 47 0 12919 8 -38 1
3 48 0 15068 -2 -40 0
3 49 0 17630 8 -42 1
3 50 0 19540 -3 -44 0
3 51 0 21064 9 -46 1
3 52 0 22180 -3 -48 0
3 53 0 22931 9 -50 1
3 54 0 23964 -4 -51 -1
3 55 0 24984 9 -53 1
3 56 0 26538 -5 -55 -1
3 57 0 27876 9 -56 1
3 58 0 30062 -5 -57 -1
3 59 0 32520 9 -58 1
3 60 0 35148 -6 -59 -1
3 61 0 38303 9 -60 1
3 62 0 41918 -7 -61 -1
3 63 0 45393 8 -61 1
3 64 0 47573 -7 -61 -1
3 65 0 48865 8 -61 1
3 66 0 49159 -8 -61 -1
3 67 0 48478 7 -60 1
3 68 0 47479 -8 -60 -1
3 69 0 45965 6 -58 1
3 70 0 43794 -9 -58 -1
3 71 0 40653 5 -56 1
3 72 0 33053 -9 -55 -1
3 73 0 22759 4 -53 0
3 74 0 12246 -9 -51 -1
3 75 0 5508 3 -49 0
3 76 0 2285 -9 -47 -1
3 77 0 932 2 -44 0
3 78 0 388 -9 -42 -1
3 79 0 175 2 -39 0
3 80 0 88 -8 -38 -1
3 81 0 48 1 -34 0
3 82 0 27 -7 -33 -1
3 83 0 15 0 -30 0
3 84 0 7 -7 -28 0
3 85 0 3 0 -25 0
3 86 0 1 -6 -23 0
3 87 0 0 0 -20 0
3 88 0 0 -5 -19 0
3 89 0 0 0 -15 0
3 90 0 0 -4 -14 0
3 91 0 0 0 -11 0
3 92 0 0 -4 -10 0
3 93 0 0 -1 -7 0
3 94 0 0 -3 -6 0
3 95 0 0 -1 -3 0
3 96 0 0 -2 -2 0
3 97 0 0 -2 0 0
4 2 0 0 0 0 0
