env_min(m) 0.0000 0.0000 0.0000
env_max(m) 10.0000 10.0000 3.0000
NumCells_XYZ 100 100 30
CellSizes_XYZ[m] 0.1000 0.1000 0.1000
GasSourceLocation_XYZ[m] 1.5000 7.4286 0.5000
GasType ethanol
Cell_x	 Cell_y	 Cell_z	 Gas_conc[10^⁻3ppm]	 Wind_u[10^⁻3m/s]	 Wind_v[10^⁻3m/s]	 Wind_w[10^⁻3m/s]
2 10 0 0 0 -4 0
2 11 0 0 1 -9 0
2 12 0 0 1 -16 4
2 13 0 0 1 -22 -3
2 14 0 0 1 -30 7
2 15 0 0 0 -36 -5
2 16 0 0 1 -44 9
2 17 0 0 0 -50 -7
2 18 0 0 1 -58 12
2 19 0 0 0 -64 -9
2 20 0 0 2 -72 15
2 21 0 0 0 -77 -11
2 22 0 0 2 -85 17
2 23 0 0 0 -90 -13
2 24 0 0 3 -99 19
2 25 0 6 0 -102 -14
2 26 0 0 3 -112 21
2 27 0 0 0 -115 -15
2 28 0 0 4 -126 22
2 29 0 0 0 -127 -15
2 30 0 43 4 -139 23
2 31 0 0 0 -140 -15
2 32 0 0 4 -153 24
2 33 0 0 0 -153 -15
2 34 0 0 5 -166 25
2 35 0 259 1 -166 -15
2 36 0 0 5 -180 25
2 37 0 0 1 -179 -15
2 38 0 0 5 -194 25
2 39 0 0 1 -193 -14
2 40 0 808 6 -209 25
2 41 0 0 1 -208 -12
2 42 0 0 6 -223 25
2 43 0 0 0 -223 -11
2 44 0 0 6 -237 26
2 45 0 636 0 -237 -11
2 46 0 0 6 -250 25
2 47 0 0 0 -249 -11
2 48 0 0 6 -262 25
2 49 0 0 0 -259 -11
2 50 0 1038 6 -271 25
2 51 0 0 0 -269 -9
2 52 0 0 5 -295 -2
2 53 0 0 0 -277 -7
2 54 0 0 6 -286 25
2 55 0 1070 0 -284 -6
2 56 0 0 6 -294 24
2 57 0 0 0 -292 -5
2 58 0 0 6 -302 24
2 59 0 0 0 -300 -4
2 60 0 555 6 -310 23
2 61 0 0 0 -309 -4
2 62 0 0 6 -320 22
2 63 0 0 0 -319 -3
2 64 0 0 6 -330 22
2 65 0 214 0 -330 -3
2 66 0 0 6 -341 21
2 67 0 0 0 -341 -2
2 68 0 0 6 -352 20
2 69 0 0 1 -353 -1
2 70 0 52 6 -364 19
2 71 0 0 1 -365 0
2 72 0 0 6 -376 18
2 73 0 0 1 -378 0
2 74 0 0 6 -388 16
2 75 0 2 1 -390 0
2 76 0 0 5 -401 15
2 77 0 0 1 -403 1
2 78 0 0 5 -413 14
2 79 0 0 1 -416 2
2 80 0 0 5 -426 12
2 81 0 0 1 -430 3
2 82 0 0 5 -439 11
2 83 0 0 1 -443 3
2 84 0 0 5 -451 10
2 85 0 0 1 -456 4
2 86 0 0 4 -464 8
2 87 0 0 1 -471 4
2 88 0 0 4 -476 8
2 89 0 0 1 -483 6
2 90 0 0 3 -488 10
2 91 0 0 0 -494 9
2 92 0 0 0 -491 13
2 93 0 0 1 -499 13
2 94 0 0 -6 -498 11
2 95 0 0 2 -523 25
2 96 0 0 -34 -444 34
2 97 0 0 -16 -492 -5
3 10 0 0 8 -2 0
3 11 0 0 11 -12 0
3 12 0 0 7 -15 0
3 13 0 0 12 -26 1
3 14 0 0 5 -29 0
3 15 0 0 15 -39 1
3 16 0 0 2 -42 0
3 17 0 0 15 -52 2
3 18 0 0 1 -56 0
3 19 0 0 16 -65 2
3 20 0 0 0 -69 0
3 21 0 1 18 -78 2
3 22 0 2 -1 -82 0
3 23 0 4 19 -91 2
3 24 0 6 -2 -95 0
3 25 0 10 20 -104 2
3 26 0 15 -4 -108 -1
3 27 0 24 21 -117 3
3 28 0 34 -5 -120 -1
3 29 0 51 22 -129 3
3 30 0 76 -5 -133 -1
3 31 0 113 24 -142 3
3 32 0 169 -6 -146 -2
3 33 0 251 25 -155 3
3 34 0 363 -7 -158 -2
3 35 0 505 26 -168 3
3 36 0 664 -8 -171 -2
3 37 0 816 27 -181 3
