env_min(m) 0.0000 0.0000 0.0000
env_max(m) 10.0000 10.0000 3.0000
NumCells_XYZ 100 100 30
CellSizes_XYZ[m] 0.1000 0.1000 0.1000
GasSourceLocation_XYZ[m] 2.7143 8.2143 0.5000
GasType ethanol
Cell_x	 Cell_y	 Cell_z	 Gas_conc[10^⁻3ppm]	 Wind_u[10^⁻3m/s]	 Wind_v[10^⁻3m/s]	 Wind_w[10^⁻3m/s]
2 2 0 0 494 -15 -11
2 3 0 0 474 -5 -54
2 4 0 0 457 -11 41
2 5 0 0 459 0 -22
2 6 0 0 450 -8 55
2 7 0 0 457 2 -19
2 8 0 0 449 -9 54
2 9 0 0 457 1 -18
2 10 0 0 450 -10 53
2 11 0 0 458 0 -21
2 12 0 0 451 -10 53
2 13 0 0 458 0 -21
2 14 0 0 453 -10 53
2 15 0 0 459 0 -23
2 16 0 0 453 -9 53
2 17 0 0 461 0 -26
2 18 0 0 453 -8 52
2 19 0 0 463 -2 -28
2 20 0 0 453 -8 53
2 21 0 0 464 -3 -29
2 22 0 0 452 -10 54
2 23 0 0 461 -1 -26
2 24 0 0 453 -10 52
2 25 0 0 459 0 -24
2 26 0 0 453 -10 48
2 27 0 0 460 -2 -26
2 28 0 0 455 -9 31
2 29 0 0 460 -1 -24
2 30 0 0 457 -1 38
2 31 0 0 463 -6 11
2 32 0 0 461 1 -9
2 33 0 0 456 6 40
2 34 0 0 467 4 -2
2 35 0 0 465 2 20
2 36 0 0 471 -5 -2
2 37 0 0 476 -4 10
2 38 0 0 468 -8 -8
2 39 0 0 478 -8 10
2 40 0 0 469 -9 -10
2 41 0 0 480 -9 13
2 42 0 0 471 -10 -11
2 43 0 0 478 -9 19
2 44 0 0 471 -10 -11
2 45 0 0 479 -9 18
2 46 0 0 469 -10 -10
2 47 0 0 479 -9 17
2 48 0 0 468 -9 -9
2 49 0 0 479 -7 16
2 50 0 0 466 -9 -7
2 51 0 0 479 -7 13
2 52 0 0 463 -7 -4
2 53 0 0 478 -7 12
2 54 0 0 462 -7 -3
2 55 0 0 478 -7 11
2 56 0 0 461 -6 -2
2 57 0 0 478 -5 12
2 58 0 0 461 -5 -3
2 59 0 0 477 -4 12
2 60 0 0 462 -2 -5
2 61 0 0 470 -8 23
2 62 0 0 462 -2 -28
2 63 0 0 459 5 31
2 64 0 0 471 5 -43
2 65 0 0 451 7 39
2 66 0 0 467 4 -42
2 67 0 0 452 13 46
2 68 0 0 464 8 -13
2 69 0 0 466 8 37
2 70 0 0 465 -22 30
